# Time-averaged data for fix thAvgFix
# TimeStep v_myPE v_myKE v_myTE v_myPress v_myTemp
1000 0.919621 2.23028 3.1499 -0.0264421 1.56511
2000 0.303119 1.95608 2.2592 0.0148298 1.37269
3000 0.044539 2.29671 2.34125 -0.00166919 1.61173
4000 0.216791 2.16004 2.37683 -0.0146104 1.51582
5000 0.0954481 2.17704 2.27249 -0.00602832 1.52775
6000 0.0155703 2.22761 2.24318 -0.00392169 1.56323
7000 0.0629928 2.20056 2.26355 -0.00413223 1.54425
8000 0.241708 2.14608 2.38779 -0.00246914 1.50602
9000 -0.396459 2.13348 1.73703 -0.00628919 1.49718
10000 0.322097 2.26924 2.59134 -0.00389483 1.59245
11000 0.180672 2.03296 2.21363 -0.0112962 1.42664
12000 0.045459 2.01321 2.05867 -0.0158134 1.41278
13000 -0.227505 2.24067 2.01316 -0.00651202 1.5724
14000 -0.138847 2.16144 2.0226 -0.00916776 1.5168
15000 0.103851 2.15158 2.25543 -0.000535214 1.50988
16000 0.103746 2.06749 2.17123 -0.00157858 1.45087
17000 0.0642497 2.12628 2.19053 -0.00350878 1.49213
18000 -0.0580555 2.26127 2.20322 -0.000215612 1.58686
19000 -0.0924556 2.01648 1.92402 -0.000833473 1.41507
20000 0.0273447 2.06639 2.09373 -0.00412752 1.4501
21000 -0.160635 2.13768 1.97705 0.00326822 1.50013
22000 0.1247 1.9974 2.1221 -0.0038945 1.40168
23000 -0.0318399 2.18291 2.15107 -0.00299517 1.53187
24000 0.146698 2.21084 2.35754 -0.00314444 1.55147
25000 0.398843 2.28665 2.6855 -0.00703425 1.60467
26000 0.281634 2.12599 2.40762 -0.00367615 1.49192
27000 0.419966 2.15139 2.57135 -0.00437585 1.50975
28000 -0.117507 2.0041 1.88659 0.00368898 1.40639
29000 -0.167595 2.12542 1.95783 -0.00463494 1.49152
30000 -0.0904773 1.96261 1.87213 -0.00403356 1.37727
31000 -0.217211 2.10627 1.88906 -0.00142943 1.47808
32000 -0.314444 2.09128 1.77683 0.00126467 1.46756
33000 0.0303746 2.21524 2.24561 0.000914807 1.55455
34000 -0.27594 2.17871 1.90276 -0.00966632 1.52892
35000 -0.0835776 2.03781 1.95423 -0.00657707 1.43004
36000 0.0325163 2.30366 2.33617 -0.00294138 1.6166
37000 0.16503 2.06854 2.23357 -0.00780041 1.45161
38000 0.146083 2.22327 2.36935 -0.00367418 1.56019
39000 0.364017 1.898 2.26202 -0.00790467 1.33193
40000 0.630621 2.25665 2.88727 -0.00435181 1.58361
41000 0.394452 2.26008 2.65453 -0.00145519 1.58602
42000 0.181716 2.03926 2.22098 -0.00270744 1.43106
43000 0.103178 2.0846 2.18778 -0.00346403 1.46288
44000 0.0130655 2.12904 2.14211 -0.00920337 1.49407
45000 0.281921 2.32536 2.60728 0.0034816 1.63183
46000 0.113692 2.18697 2.30066 -0.0130957 1.53472
47000 0.0831454 2.18655 2.2697 0.00064853 1.53442
48000 -0.143346 2.19893 2.05559 0.00304059 1.54311
49000 -0.0327475 2.10954 2.07679 -0.00840857 1.48038
50000 -0.166101 1.96718 1.80108 -0.00842224 1.38047
51000 -0.226516 2.34256 2.11604 -0.00789087 1.6439
52000 -0.175982 2.17984 2.00386 -0.00923132 1.52971
53000 -0.23688 2.17335 1.93647 -0.00459061 1.52516
54000 -0.143351 2.06681 1.92345 -0.00522447 1.45039
55000 0.0969539 2.16617 2.26312 0.00582747 1.52012
56000 0.168184 2.12216 2.29035 -0.0177418 1.48924
57000 -0.00656356 2.25918 2.25261 -0.00851607 1.58539
58000 0.237406 2.06416 2.30156 -0.00929879 1.44853
59000 0.00999199 2.15595 2.16594 -0.00763539 1.51295
60000 -0.0142682 2.1894 2.17513 -0.000946493 1.53642
61000 0.381277 2.08222 2.4635 -0.00336676 1.46121
62000 0.187357 2.06493 2.25229 -0.00432736 1.44907
63000 0.331741 2.19812 2.52987 -0.00189102 1.54254
64000 0.296205 2.18072 2.47693 -0.00288648 1.53033
65000 -0.322047 2.12633 1.80428 0.00149812 1.49216
66000 -0.113567 2.09066 1.97709 -0.00356796 1.46713
67000 -0.383568 2.04333 1.65977 -0.00431593 1.43392
68000 -0.191006 2.17885 1.98784 -0.00402369 1.52902
69000 -0.0965841 2.021 1.92441 -0.00854047 1.41824
70000 -0.0193352 2.28769 2.26835 0.00174231 1.60539
71000 -0.193064 2.14276 1.9497 0.000150596 1.50369
72000 -0.137351 2.17793 2.04058 -0.00267686 1.52837
73000 0.23183 1.94416 2.17599 -0.00324227 1.36432
74000 0.330891 2.08715 2.41804 -0.00323059 1.46467
75000 -0.0280512 2.29486 2.26681 0.00453273 1.61043
76000 -0.0474039 2.16805 2.12065 -0.00804371 1.52144
77000 0.354703 2.00593 2.36063 -0.00147887 1.40767
78000 0.315781 2.01329 2.32907 -0.0063598 1.41284
79000 -0.0926451 2.1913 2.09866 0.00078441 1.53776
80000 -0.352791 2.22665 1.87386 0.00384665 1.56256
81000 -0.152837 2.23 2.07716 0.00047147 1.56491
82000 -0.0629093 2.02333 1.96043 -0.00440932 1.41988
83000 0.104142 2.16227 2.26641 0.0055496 1.51738
84000 -0.118928 2.19484 2.07591 -0.00436283 1.54024
85000 -0.408245 1.95347 1.54523 4.76857e-05 1.37086
86000 -0.106672 2.13391 2.02724 0.00109549 1.49748
87000 -0.167558 2.08536 1.9178 -0.00263653 1.46341
88000 0.127824 2.22555 2.35337 -0.00398753 1.56179
89000 0.101323 2.10962 2.21094 -0.00140267 1.48044
90000 -0.114018 2.10095 1.98693 -0.00943598 1.47435
91000 0.38452 2.26985 2.65437 -0.0111997 1.59288
92000 0.403477 2.02854 2.43202 0.00347938 1.42354
93000 0.204016 2.19691 2.40093 -0.00566387 1.54169
94000 -0.307109 2.12346 1.81635 -0.00201426 1.49014
95000 -0.442924 2.18684 1.74392 0.0072614 1.53463
96000 0.0206561 2.26496 2.28561 -0.0155 1.58944
97000 -0.274924 2.01214 1.73722 -0.0126727 1.41203
98000 -0.206534 2.27138 2.06485 0.00105849 1.59395
99000 0.182017 2.1607 2.34272 -0.0224857 1.51628
100000 0.0782237 1.95646 2.03468 -0.00556691 1.37295
