# Time-averaged data for fix thAvgFix
# TimeStep v_myPE v_myKE v_myTE v_myPress v_myTemp
1000 1.64158 3.05606 4.69764 -0.0368074 2.07895
2000 1.05402 2.80632 3.86034 -0.0210499 1.90906
3000 0.891897 3.11574 4.00764 -0.000850999 2.11955
4000 0.484054 2.98515 3.4692 0.0218328 2.03071
5000 -0.113307 2.93193 2.81862 0.0208483 1.99451
6000 -0.565803 2.97777 2.41197 -0.00582342 2.0257
7000 -0.464263 2.91946 2.4552 -0.0163877 1.98603
8000 -0.0549671 3.01107 2.9561 -0.00279427 2.04835
9000 0.250122 3.04326 3.29338 -0.0137289 2.07024
10000 -0.275443 2.92423 2.64878 0.00754584 1.98927
11000 -0.50169 2.88934 2.38765 -0.00499658 1.96554
12000 0.175582 2.97867 3.15426 -0.0104282 2.02631
13000 0.376625 3.1058 3.48243 -0.000161593 2.11279
14000 0.144713 2.81515 2.95987 -0.0105345 1.91507
15000 -0.146367 3.07637 2.93 -0.00563871 2.09277
16000 -0.337418 2.91256 2.57515 -0.00727678 1.98134
17000 -0.414918 2.93384 2.51892 0.00114746 1.99581
18000 -0.394527 3.02381 2.62928 -0.00470937 2.05701
19000 -0.725418 2.89503 2.16961 -0.0097319 1.96941
20000 -0.518171 3.02514 2.50697 -0.00962425 2.05792
21000 -0.742389 3.01324 2.27085 0.000667674 2.04982
22000 -0.607303 3.10746 2.50015 -0.00966482 2.11391
23000 -0.533827 2.87672 2.34289 -0.0113016 1.95695
24000 -0.244384 2.88583 2.64144 -0.0154939 1.96315
25000 -0.27127 3.01237 2.7411 -0.00380479 2.04923
26000 -0.287336 2.80831 2.52098 -0.0186907 1.91042
27000 -0.373511 3.0888 2.71528 -0.0130748 2.10122
28000 -0.267098 2.83801 2.57091 -0.00636317 1.93062
29000 -0.308884 2.87729 2.5684 0.000497028 1.95734
30000 -0.372743 3.02596 2.65322 -0.00359416 2.05848
31000 -0.548392 2.85978 2.31139 -0.00728881 1.94543
32000 -0.0569816 2.88102 2.82404 -0.00921778 1.95988
33000 -0.0349628 2.92032 2.88536 -0.00306879 1.98661
34000 -0.102376 2.81129 2.70891 -0.00981532 1.91244
35000 0.115842 2.98277 3.09861 -0.00333484 2.02909
36000 0.24114 2.86716 3.1083 0.00164038 1.95045
37000 0.222049 2.89932 3.12136 -0.0124998 1.97232
38000 -0.0290413 2.83235 2.8033 -0.00611055 1.92677
39000 -0.0290391 2.97742 2.94838 0.00154814 2.02546
40000 -0.644331 2.9252 2.28086 -0.00440079 1.98993
41000 -0.418361 2.96638 2.54802 -0.00198492 2.01795
42000 -0.494271 3.01388 2.51961 0.0011176 2.05026
43000 -0.452034 2.90417 2.45214 0.00409585 1.97563
44000 -0.158204 2.90668 2.74847 -0.00317512 1.97733
45000 0.155336 2.91882 3.07416 -0.00804828 1.98559
46000 -0.475733 2.91037 2.43464 -0.00368975 1.97984
47000 -0.807503 2.86225 2.05475 -0.00560188 1.94711
48000 -0.0781251 3.02541 2.94729 -0.00937307 2.0581
49000 0.243976 3.03749 3.28146 -0.00894629 2.06632
50000 -0.0746923 2.88239 2.8077 -0.00674059 1.96081
51000 -0.0415251 2.99478 2.95326 -0.00564376 2.03727
52000 -0.215375 2.94116 2.72579 -0.000962124 2.00079
53000 -0.119818 2.93907 2.81926 0.00568202 1.99937
54000 0.133919 2.74536 2.87928 -0.0135021 1.86759
55000 -0.0874501 2.9833 2.89585 -0.00104908 2.02945
56000 -0.366332 3.11132 2.74499 -0.00636755 2.11654
57000 -0.17176 2.94168 2.76992 -0.0120504 2.00114
58000 -0.243848 3.04392 2.80007 -0.0189487 2.07069
59000 -0.0947543 2.98661 2.89186 -0.00904592 2.03171
60000 -0.367124 3.1124 2.74527 -0.0117759 2.11728
61000 -0.254467 2.80682 2.55236 -0.0140632 1.9094
62000 -0.176697 3.12567 2.94897 -0.0126363 2.1263
63000 -0.0775302 2.99249 2.91496 -0.0109633 2.03571
64000 0.0363723 2.82419 2.86056 -0.0127135 1.92122
65000 0.179713 2.93579 3.11551 -0.0129476 1.99714
66000 -0.323598 3.08147 2.75788 -0.00769561 2.09624
67000 -0.45576 3.0215 2.56574 -0.0045125 2.05544
68000 -0.607758 2.87629 2.26853 -0.0100009 1.95666
69000 -0.703084 2.98867 2.28559 -0.00538558 2.03311
70000 -0.601584 3.11593 2.51435 -0.00204349 2.11968
71000 -0.123531 2.9393 2.81577 -0.009984 1.99953
72000 -0.402599 2.81018 2.40758 -0.00286184 1.91168
73000 -0.475219 2.96905 2.49383 -8.60857e-06 2.01976
74000 -0.321978 2.93073 2.60876 -0.00911514 1.9937
75000 -0.535088 3.07541 2.54032 0.0033367 2.09212
76000 -0.519407 2.79416 2.27475 -0.00893412 1.90079
77000 -0.519193 2.90006 2.38086 -0.0136195 1.97283
78000 -0.206703 2.99355 2.78684 -3.93164e-05 2.03643
79000 -0.160401 2.85547 2.69506 -0.00363697 1.94249
80000 0.235045 3.08635 3.32139 -0.00329255 2.09956
81000 -0.396229 2.84147 2.44524 -0.00990236 1.93297
82000 -0.115849 2.92357 2.80772 -0.0131136 1.98882
83000 -0.0532002 2.79375 2.74055 -0.0163667 1.90051
84000 -0.609879 2.97395 2.36407 -0.00956441 2.0231
85000 -0.447235 2.8145 2.36727 -0.00830265 1.91463
86000 -0.609335 2.99024 2.38091 -0.00259685 2.03418
87000 -0.102087 2.96177 2.85968 -0.0141614 2.01481
88000 -0.321991 2.99643 2.67444 -0.00435976 2.03839
89000 -0.585541 3.05786 2.47232 -0.00233211 2.08018
90000 -0.430409 2.90756 2.47715 -0.00721081 1.97793
91000 -0.0344547 3.04796 3.01351 -0.00696669 2.07344
