# Time-averaged data for fix thAvgFix
# TimeStep v_myPE v_myKE v_myTE v_myPress v_myTemp
1000 1.1015 1.69874 2.80024 -0.00507612 1.14393
2000 0.742927 1.48872 2.23165 -0.0331715 1.00251
3000 0.696402 1.46898 2.16538 -0.0318576 0.989214
4000 0.589011 1.44762 2.03664 -0.0234522 0.974831
5000 0.440778 1.50037 1.94115 -0.0134942 1.01035
6000 0.392167 1.48566 1.87782 -0.00609202 1.00044
7000 0.31134 1.48042 1.79176 0.00118564 0.996913
8000 0.0432372 1.44161 1.48485 0.00357993 0.970782
9000 -0.245481 1.48315 1.23767 0.00455047 0.998753
10000 -0.556789 1.49993 0.943136 0.00716767 1.01005
11000 -0.901953 1.47442 0.572468 0.00161708 0.992876
12000 -1.37957 1.49105 0.111483 0.00559321 1.00408
13000 -1.63672 1.50157 -0.135149 0.00100323 1.01116
14000 -2.03299 1.47245 -0.560539 -0.00378975 0.991546
15000 -2.52341 1.48705 -1.03636 -0.00291266 1.00138
16000 -2.83342 1.50627 -1.32716 -0.0101683 1.01432
17000 -3.44309 1.53172 -1.91137 -0.0169546 1.03146
18000 -4.21171 1.49749 -2.71422 -0.0101091 1.00841
19000 -4.23571 1.50391 -2.7318 -0.0286515 1.01274
20000 -4.23432 1.5135 -2.72082 -0.0288132 1.01919
21000 -4.69753 1.54623 -3.15129 -0.0399607 1.04123
22000 -5.11312 1.45482 -3.6583 -0.0509011 0.979676
23000 -5.03413 1.44298 -3.59115 -0.0591317 0.971705
24000 -5.09257 1.4996 -3.59297 -0.0533071 1.00983
25000 -4.98484 1.50136 -3.48347 -0.060098 1.01102
26000 -5.18601 1.49093 -3.69508 -0.049331 1.00399
27000 -5.32291 1.48097 -3.84194 -0.0517478 0.997289
28000 -5.36282 1.48986 -3.87296 -0.0698901 1.00327
29000 -5.42464 1.49667 -3.92798 -0.0581046 1.00786
30000 -5.33383 1.4664 -3.86742 -0.0624616 0.987477
31000 -5.49541 1.45156 -4.04384 -0.0611837 0.977484
32000 -5.50534 1.46935 -4.03599 -0.0614745 0.989462
33000 -5.66669 1.49637 -4.17031 -0.0471315 1.00766
34000 -5.59799 1.47465 -4.12334 -0.070302 0.993029
35000 -5.54496 1.53245 -4.01251 -0.0498567 1.03196
36000 -5.6811 1.5053 -4.17579 -0.051855 1.01367
37000 -5.73636 1.48704 -4.24933 -0.0615038 1.00137
38000 -5.9025 1.42591 -4.47659 -0.0578402 0.96021
39000 -5.83086 1.4767 -4.35415 -0.0654138 0.994412
40000 -5.98941 1.49606 -4.49335 -0.062435 1.00745
41000 -5.68315 1.48829 -4.19486 -0.055259 1.00222
42000 -5.79187 1.43865 -4.35321 -0.0497079 0.968791
43000 -5.73829 1.47597 -4.26232 -0.0476215 0.993921
44000 -5.56479 1.51556 -4.04923 -0.0623992 1.02058
45000 -5.73191 1.49391 -4.238 -0.0519241 1.006
46000 -5.79506 1.42681 -4.36825 -0.0573208 0.960816
47000 -5.73529 1.45761 -4.27768 -0.0536457 0.981558
48000 -5.76173 1.44935 -4.31238 -0.0663494 0.975993
49000 -5.76503 1.5035 -4.26153 -0.0660029 1.01245
50000 -5.8663 1.45327 -4.41303 -0.0549132 0.978632
51000 -5.72338 1.50923 -4.21415 -0.0603972 1.01631
52000 -5.75583 1.53439 -4.22143 -0.0526366 1.03326
53000 -5.68423 1.51261 -4.17162 -0.0731375 1.01859
54000 -5.91103 1.46601 -4.44502 -0.0618377 0.987214
55000 -6.05807 1.50315 -4.55491 -0.0583535 1.01222
56000 -6.00193 1.54404 -4.45789 -0.0607157 1.03976
57000 -5.99125 1.49602 -4.49523 -0.0560135 1.00742
58000 -5.93414 1.4686 -4.46554 -0.0614364 0.988959
59000 -5.85217 1.50299 -4.34918 -0.0618836 1.01212
60000 -5.83239 1.47592 -4.35647 -0.0668105 0.993884
61000 -5.71638 1.52708 -4.1893 -0.0705919 1.02834
62000 -5.70736 1.49092 -4.21644 -0.0602407 1.00399
63000 -5.70837 1.48922 -4.21914 -0.072683 1.00284
64000 -5.80341 1.48804 -4.31536 -0.0736841 1.00205
65000 -5.69919 1.51606 -4.18312 -0.0574241 1.02092
66000 -5.84102 1.44319 -4.39783 -0.0594523 0.971847
67000 -5.93129 1.48206 -4.44923 -0.062305 0.99802
68000 -5.94857 1.48084 -4.46772 -0.0571111 0.997202
69000 -5.84823 1.45362 -4.39461 -0.0586796 0.978869
70000 -5.96231 1.39607 -4.56624 -0.0693379 0.940113
71000 -5.80694 1.50508 -4.30186 -0.0659189 1.01352
72000 -5.8251 1.49266 -4.33244 -0.0644817 1.00516
73000 -5.88034 1.44802 -4.43232 -0.0584216 0.975098
74000 -5.94141 1.50076 -4.44065 -0.0583709 1.01061
75000 -5.93034 1.45869 -4.47166 -0.0593692 0.98228
76000 -5.95273 1.49735 -4.45538 -0.057821 1.00831
77000 -5.96034 1.46907 -4.49127 -0.0666594 0.989274
78000 -5.90652 1.49909 -4.40743 -0.0685868 1.00949
79000 -5.97884 1.42327 -4.55557 -0.0744576 0.958431
80000 -5.90595 1.51322 -4.39273 -0.0622404 1.01901
81000 -5.90707 1.4347 -4.47237 -0.0697284 0.96613
82000 -5.91229 1.49016 -4.42212 -0.073882 1.00348
83000 -5.72266 1.51345 -4.20921 -0.0625727 1.01916
84000 -5.6994 1.52376 -4.17565 -0.0601246 1.0261
85000 -5.90875 1.47268 -4.43607 -0.0641198 0.991706
86000 -5.92277 1.48574 -4.43703 -0.0624797 1.0005
87000 -5.93197 1.44854 -4.48342 -0.0700956 0.97545
88000 -5.83983 1.51029 -4.32953 -0.0547407 1.01703
89000 -5.91538 1.49573 -4.41965 -0.0494241 1.00723
90000 -5.84113 1.44269 -4.39844 -0.0665166 0.971511
91000 -5.86445 1.50302 -4.36144 -0.0605699 1.01213
92000 -5.87588 1.49415 -4.38173 -0.0649563 1.00616
93000 -5.93983 1.43955 -4.50028 -0.0605252 0.969394
94000 -5.76792 1.51682 -4.2511 -0.0602095 1.02143
95000 -5.86226 1.45095 -4.4113 -0.0545165 0.977073
96000 -5.90438 1.49666 -4.40772 -0.0644659 1.00785
97000 -5.95662 1.49738 -4.45924 -0.0530337 1.00834
98000 -5.86383 1.48995 -4.37388 -0.0668378 1.00333
99000 -5.84211 1.50451 -4.33761 -0.0593784 1.01313
100000 -5.83866 1.45074 -4.38792 -0.0594068 0.976929
